# coding=utf-82018-07-24 15:18:20,037 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:18:20,037 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:18:25,292 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:18:25,293 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:18:25,293 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:18:25,293 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:18:25,760 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:18:25,762 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:18:25,762 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:18:27,772 WebGame.py select_language[line:61] ERROR Select Language NoSuchElementException!
2018-07-24 15:18:27,772 BaseView.py get_screen_shot[line:52] INFO ==========get_screen_shot==========
2018-07-24 15:18:27,772 BaseView.py get_time[line:46] INFO ==========get_Time==========
2018-07-24 15:18:27,773 BaseView.py get_screen_shot[line:55] INFO get Select Language NoSuchElementException screenshots
2018-07-24 15:18:28,068 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:18:32,722 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:18:32,722 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:18:32,722 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:18:32,722 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:18:33,052 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:18:33,054 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:18:33,054 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:18:35,061 WebGame.py select_language[line:61] ERROR Select Language NoSuchElementException!
2018-07-24 15:18:35,061 BaseView.py get_screen_shot[line:52] INFO ==========get_screen_shot==========
2018-07-24 15:18:35,062 BaseView.py get_time[line:46] INFO ==========get_Time==========
2018-07-24 15:18:35,062 BaseView.py get_screen_shot[line:55] INFO get Select Language NoSuchElementException screenshots
2018-07-24 15:18:35,314 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:19:25,760 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:19:30,406 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:19:30,407 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:19:46,861 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:19:51,535 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:19:51,549 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:20:34,403 Run.py run[line:42] INFO start run testcase...
2018-07-24 15:20:34,403 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:20:39,169 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:20:39,170 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:20:39,170 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:20:39,170 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:20:39,960 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:20:39,963 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:20:39,963 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:20:40,517 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:20:40,753 WebGame.py check_language[line:71] INFO ==========检查多语言选择是否正确==========
2018-07-24 15:20:40,754 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:20:41,042 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:20:41,273 WebGame.py check_language[line:80] INFO Select Language 简体中文 TRUE!
2018-07-24 15:20:41,273 WebGame.py login_user[line:108] INFO ==========登录大厅用户名==========
2018-07-24 15:20:41,273 WebGame.py login_user[line:110] INFO 开始登录
2018-07-24 15:20:41,601 WebGame.py select_free_rotation[line:85] INFO ==========选择非免转/免转==========
2018-07-24 15:20:41,601 WebGame.py select_free_rotation[line:93] INFO 选择非免转
2018-07-24 15:20:41,871 Slot_Caps.py browser[line:13] INFO ==========browser==========
2018-07-24 15:20:46,543 Common.py get_csv_data[line:337] INFO ==========获取CSV-游戏名称数据==========
2018-07-24 15:20:46,563 Common.py get_csv_data[line:342] INFO 根据索引返回单个游戏名称
2018-07-24 15:20:46,564 WebGame.py all_agg[line:187] INFO ==========游戏正在初始化······==========
2018-07-24 15:20:46,564 WebGame.py get_fungaming[line:34] INFO ==========进入被测大厅==========
2018-07-24 15:20:47,143 WebGame.py check_game_hall[line:40] INFO ==========检查被测大厅标题==========
2018-07-24 15:20:47,146 WebGame.py check_game_hall[line:50] INFO Game hall title TRUE!
2018-07-24 15:20:47,146 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:20:47,382 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:20:47,918 WebGame.py check_language[line:71] INFO ==========检查多语言选择是否正确==========
2018-07-24 15:20:47,918 WebGame.py select_language[line:55] INFO ==========select_language==========
2018-07-24 15:20:48,191 WebGame.py select_language[line:65] INFO Select Language 简体中文 success!
2018-07-24 15:20:48,428 WebGame.py check_language[line:80] INFO Select Language 简体中文 TRUE!
